,Theta,alpha,amp_p,bar_p,folder,r
276,0.08360306936514639,1.0995574287564276,0.0007088137438914638,0.0002456495905931832,case276,0.8
277,0.08360306936514639,1.2566370614359172,0.0007137580400843804,0.0002478162216506012,case277,0.8
278,0.08360306936514639,1.413716694115407,0.0007187736003699978,0.0002494589737039805,case278,0.8
279,0.08360306936514639,1.5707963267948966,0.0007236481913165226,0.0002503709877100083,case279,0.8
280,0.08360306936514639,0.15707963267948966,0.0001788844042469698,5.498043286624777e-05,case280,0.9
281,0.08360306936514639,0.3141592653589793,0.00019715937472523256,8.994861536706324e-05,case281,0.9
282,0.08360306936514639,0.471238898038469,0.0002110603440202,9.96348421663396e-05,case282,0.9
283,0.08360306936514639,0.6283185307179586,0.00021642586524512424,0.00010396734513973368,case283,0.9
284,0.08360306936514639,0.7853981633974483,0.00021883144704964687,0.00010678438495125756,case284,0.9
285,0.08360306936514639,0.9424777960769379,0.0002195339557513622,0.00010794581512952293,case285,0.9
286,0.08360306936514639,1.0995574287564276,0.0002204614197614481,0.00010818532008001021,case286,0.9
287,0.08360306936514639,1.2566370614359172,0.00022146174136542516,0.00010854293970231854,case287,0.9
288,0.08360306936514639,1.413716694115407,0.00022301632564499186,0.00010918021117736137,case288,0.9
289,0.08360306936514639,1.5707963267948966,0.0002235083465589831,0.00010856235498080999,case289,0.9
290,0.08360306936514639,0.15707963267948966,6.216378895856062e-06,-6.344644715715873e-06,case290,1.0
291,0.08360306936514639,0.3141592653589793,6.2232143601752354e-06,-6.347577013117668e-06,case291,1.0
292,0.08360306936514639,0.471238898038469,6.229787922613034e-06,-6.3537114275158506e-06,case292,1.0
293,0.08360306936514639,0.6283185307179586,6.227772566312381e-06,-6.369812484175501e-06,case293,1.0
294,0.08360306936514639,0.7853981633974483,6.201781597346959e-06,-6.4086723249468745e-06,case294,1.0
295,0.08360306936514639,0.9424777960769379,6.229143664366498e-06,-6.369284810168962e-06,case295,1.0
296,0.08360306936514639,1.0995574287564276,6.227493252707039e-06,-6.351240112175349e-06,case296,1.0
297,0.08360306936514639,1.2566370614359172,6.2205668632899995e-06,-6.344629352189602e-06,case297,1.0
298,0.08360306936514639,1.413716694115407,6.212031736464333e-06,-6.340495170868884e-06,case298,1.0
299,0.08360306936514639,1.5707963267948966,6.216966199559819e-06,-6.352824615104432e-06,case299,1.0
300,0.10797751623277094,0.15707963267948966,0.0028990164310746867,0.0003744640297513568,case300,0.1
301,0.10797751623277094,0.3141592653589793,0.00337754156124654,0.0005030768357624143,case301,0.1
302,0.10797751623277094,0.471238898038469,0.00348596204412584,0.0006552874772180164,case302,0.1
303,0.10797751623277094,0.6283185307179586,0.0036311048965149656,0.0007151505948395136,case303,0.1
304,0.10797751623277094,0.7853981633974483,0.003736257705581009,0.0007540395292752419,case304,0.1
305,0.10797751623277094,0.9424777960769379,0.0038052771109380046,0.0007800599850535003,case305,0.1
306,0.10797751623277094,1.0995574287564276,0.00386309513783687,0.0007992938041672395,case306,0.1
307,0.10797751623277094,1.2566370614359172,0.003920919925846971,0.0008138242939826884,case307,0.1
308,0.10797751623277094,1.413716694115407,0.003965636573126683,0.0008213061320196744,case308,0.1
309,0.10797751623277094,1.5707963267948966,0.004002123047983068,0.0008271175469427491,case309,0.1
310,0.10797751623277094,0.15707963267948966,0.0029826012783541354,0.00038389540143997044,case310,0.2
311,0.10797751623277094,0.3141592653589793,0.003472757692339849,0.0005132815175452751,case311,0.2
312,0.10797751623277094,0.471238898038469,0.0035714287557241375,0.0006698796285061193,case312,0.2
313,0.10797751623277094,0.6283185307179586,0.0037013459040919783,0.0007280999419311696,case313,0.2
314,0.10797751623277094,0.7853981633974483,0.0037903463564906174,0.0007640885840975005,case314,0.2
315,0.10797751623277094,0.9424777960769379,0.003854960497098931,0.0007891590012395096,case315,0.2
316,0.10797751623277094,1.0995574287564276,0.003900070695080639,0.0008059029649626708,case316,0.2
317,0.10797751623277094,1.2566370614359172,0.003948322311979964,0.0008182763087821264,case317,0.2
318,0.10797751623277094,1.413716694115407,0.003996640460696964,0.0008264091818172874,case318,0.2
319,0.10797751623277094,1.5707963267948966,0.0040315708891661296,0.000831711682955073,case319,0.2
320,0.10797751623277094,0.15707963267948966,0.003006050278932186,0.0003950340696011192,case320,0.30000000000000004
321,0.10797751623277094,0.3141592653589793,0.0035154813581099583,0.0005265305578714936,case321,0.30000000000000004
322,0.10797751623277094,0.471238898038469,0.0036020770296808966,0.0006885169910112965,case322,0.30000000000000004
323,0.10797751623277094,0.6283185307179586,0.0037348631191351928,0.0007479310686420223,case323,0.30000000000000004
324,0.10797751623277094,0.7853981633974483,0.003817668412150859,0.0007820166524302871,case324,0.30000000000000004
325,0.10797751623277094,0.9424777960769379,0.0038765702472569412,0.000804741649141239,case325,0.30000000000000004
326,0.10797751623277094,1.0995574287564276,0.003927547445879245,0.0008214440530755338,case326,0.30000000000000004
327,0.10797751623277094,1.2566370614359172,0.003973417255152391,0.0008323460403548912,case327,0.30000000000000004
328,0.10797751623277094,1.413716694115407,0.004020918176089468,0.0008394589626092189,case328,0.30000000000000004
329,0.10797751623277094,1.5707963267948966,0.00405470693342938,0.000844052517348396,case329,0.30000000000000004
330,0.10797751623277094,0.15707963267948966,0.0028792355028690085,0.0004013602920195186,case330,0.4
331,0.10797751623277094,0.3141592653589793,0.003409251074763982,0.0005352624403269222,case331,0.4
332,0.10797751623277094,0.471238898038469,0.0034949211161369557,0.0007033256738235412,case332,0.4
333,0.10797751623277094,0.6283185307179586,0.003632808678326515,0.0007645843070151978,case333,0.4
334,0.10797751623277094,0.7853981633974483,0.0037229906097274858,0.000799446795302182,case334,0.4
335,0.10797751623277094,0.9424777960769379,0.0037894948061458857,0.0008233017131889528,case335,0.4
336,0.10797751623277094,1.0995574287564276,0.0038486915341137302,0.0008415615294894635,case336,0.4
337,0.10797751623277094,1.2566370614359172,0.003900650112559938,0.0008541083672119581,case337,0.4
338,0.10797751623277094,1.413716694115407,0.003942059342587551,0.0008597454546260219,case338,0.4
339,0.10797751623277094,1.5707963267948966,0.0039859742441337625,0.0008665378768942813,case339,0.4
340,0.10797751623277094,0.15707963267948966,0.002576270367006738,0.00039563771800452693,case340,0.5
341,0.10797751623277094,0.3141592653589793,0.0030985127805291343,0.0005316841134334697,case341,0.5
342,0.10797751623277094,0.471238898038469,0.0031921663591400165,0.0007018662844158701,case342,0.5
343,0.10797751623277094,0.6283185307179586,0.0033309604675146915,0.0007652279896746272,case343,0.5
344,0.10797751623277094,0.7853981633974483,0.00343366987027241,0.0008049516700509334,case344,0.5
345,0.10797751623277094,0.9424777960769379,0.003511551287606862,0.000834389188814849,case345,0.5
346,0.10797751623277094,1.0995574287564276,0.0035708411348941054,0.0008556842792795536,case346,0.5
347,0.10797751623277094,1.2566370614359172,0.003619073536674739,0.0008697804646658565,case347,0.5
348,0.10797751623277094,1.413716694115407,0.0036711952295895496,0.0008800311746193473,case348,0.5
349,0.10797751623277094,1.5707963267948966,0.003704728794903284,0.0008852763875712062,case349,0.5
350,0.10797751623277094,0.15707963267948966,0.0020962565510731354,0.000369439515133103,case350,0.6
351,0.10797751623277094,0.3141592653589793,0.002581144790588569,0.000507771235134912,case351,0.6
352,0.10797751623277094,0.471238898038469,0.002670257453302499,0.0006687467118498299,case352,0.6
353,0.10797751623277094,0.6283185307179586,0.002810722857006708,0.0007369017649243043,case353,0.6
354,0.10797751623277094,0.7853981633974483,0.00290667471570114,0.000781129570367029,case354,0.6
355,0.10797751623277094,0.9424777960769379,0.0029768473082219704,0.0008146373292089435,case355,0.6
356,0.10797751623277094,1.0995574287564276,0.00302511916239911,0.0008377227027661506,case356,0.6
357,0.10797751623277094,1.2566370614359172,0.0030678167568489153,0.0008545433740408926,case357,0.6
358,0.10797751623277094,1.413716694115407,0.0031048777740786786,0.0008638827533977559,case358,0.6
359,0.10797751623277094,1.5707963267948966,0.0031321459627596743,0.0008692834959070629,case359,0.6
360,0.10797751623277094,0.15707963267948966,0.0014982350077990467,0.000317302759938173,case360,0.7000000000000001
361,0.10797751623277094,0.3141592653589793,0.0018839179041772744,0.0004543642635187715,case361,0.7000000000000001
362,0.10797751623277094,0.471238898038469,0.001972307736532789,0.0005953948530355482,case362,0.7000000000000001
363,0.10797751623277094,0.6283185307179586,0.002079674947307171,0.000658712108778406,case363,0.7000000000000001
364,0.10797751623277094,0.7853981633974483,0.002150216177327855,0.0007011722173893974,case364,0.7000000000000001
365,0.10797751623277094,0.9424777960769379,0.0021937357414240273,0.0007302799105750953,case365,0.7000000000000001
366,0.10797751623277094,1.0995574287564276,0.0022279682692908143,0.0007518302959044591,case366,0.7000000000000001
367,0.10797751623277094,1.2566370614359172,0.00225402917256587,0.0007653666986505913,case367,0.7000000000000001
368,0.10797751623277094,1.413716694115407,0.0022771025558867143,0.0007730044168629066,case368,0.7000000000000001
369,0.10797751623277094,1.5707963267948966,0.0022967930988273067,0.000777879398879253,case369,0.7000000000000001
370,0.10797751623277094,0.15707963267948966,0.0008677511325080446,0.00023257785102568507,case370,0.8
371,0.10797751623277094,0.3141592653589793,0.0010950247326837052,0.0003638581190399461,case371,0.8
372,0.10797751623277094,0.471238898038469,0.0011596922263895373,0.00045829798544817085,case372,0.8
373,0.10797751623277094,0.6283185307179586,0.0012208994715880279,0.0005027048617123542,case373,0.8
374,0.10797751623277094,0.7853981633974483,0.001254863380741917,0.0005295573988446366,case374,0.8
375,0.10797751623277094,0.9424777960769379,0.0012732750128139627,0.0005453833418828475,case375,0.8
376,0.10797751623277094,1.0995574287564276,0.0012864374708644445,0.0005558422165160861,case376,0.8
377,0.10797751623277094,1.2566370614359172,0.001296887529576867,0.0005620782980278199,case377,0.8
378,0.10797751623277094,1.413716694115407,0.0013059450266706268,0.0005659498756205541,case378,0.8
379,0.10797751623277094,1.5707963267948966,0.001313401428051442,0.0005669151753994353,case379,0.8
380,0.10797751623277094,0.15707963267948966,0.0003190115916265265,0.00010918526154506744,case380,0.9
381,0.10797751623277094,0.3141592653589793,0.00036186576371920794,0.00019648006496711382,case381,0.9
382,0.10797751623277094,0.471238898038469,0.0003929169969916298,0.00021898532871930228,case382,0.9
383,0.10797751623277094,0.6283185307179586,0.00040607726567970726,0.00022796404005768247,case383,0.9
384,0.10797751623277094,0.7853981633974483,0.0004103612819443043,0.0002325430965567208,case384,0.9
385,0.10797751623277094,0.9424777960769379,0.0004127164805890363,0.00023612241803418522,case385,0.9
386,0.10797751623277094,1.0995574287564276,0.0004141048463445879,0.0002372520817567708,case386,0.9
387,0.10797751623277094,1.2566370614359172,0.0004158853582399619,0.00023780231678597328,case387,0.9
388,0.10797751623277094,1.413716694115407,0.00041756575094582907,0.00023768942270972635,case388,0.9
389,0.10797751623277094,1.5707963267948966,0.00041905712803059846,0.00023800203317994852,case389,0.9
390,0.10797751623277094,0.15707963267948966,1.0836703386332289e-05,-1.1014688779649984e-05,case390,1.0
391,0.10797751623277094,0.3141592653589793,1.084690362713809e-05,-1.1017097596478789e-05,case391,1.0
392,0.10797751623277094,0.471238898038469,1.0858578570690332e-05,-1.1026068988359807e-05,case392,1.0
393,0.10797751623277094,0.6283185307179586,1.0845190170461559e-05,-1.1058223769142342e-05,case393,1.0
394,0.10797751623277094,0.7853981633974483,1.0837720874089424e-05,-1.112596649265507e-05,case394,1.0
395,0.10797751623277094,0.9424777960769379,1.0839968996919905e-05,-1.105234601958831e-05,case395,1.0
396,0.10797751623277094,1.0995574287564276,1.0851303851346319e-05,-1.1017612009686437e-05,case396,1.0
397,0.10797751623277094,1.2566370614359172,1.0841024377289336e-05,-1.1007523264171986e-05,case397,1.0
398,0.10797751623277094,1.413716694115407,1.0826091216140169e-05,-1.100256517965941e-05,case398,1.0
399,0.10797751623277094,1.5707963267948966,1.0856574348355734e-05,-1.1020962179970704e-05,case399,1.0
400,0.1394583249195745,0.15707963267948966,0.004903396866874451,0.0007558061998279716,case400,0.1
401,0.1394583249195745,0.3141592653589793,0.006015791673124253,0.0009640433946030183,case401,0.1
402,0.1394583249195745,0.471238898038469,0.006191173708142077,0.0013372256176417004,case402,0.1
403,0.1394583249195745,0.6283185307179586,0.0063448921663667,0.0015343129956970163,case403,0.1
404,0.1394583249195745,0.7853981633974483,0.006511428515190129,0.0016326382741196363,case404,0.1
405,0.1394583249195745,0.9424777960769379,0.006634479431404411,0.0016941330738124843,case405,0.1
406,0.1394583249195745,1.0995574287564276,0.00675315707903167,0.0017425889286475165,case406,0.1
407,0.1394583249195745,1.2566370614359172,0.006848392460174279,0.0017730002232271076,case407,0.1
408,0.1394583249195745,1.413716694115407,0.006938196333360502,0.0017930295999712621,case408,0.1
409,0.1394583249195745,1.5707963267948966,0.00699389561465059,0.0017961901714415337,case409,0.1
410,0.1394583249195745,0.15707963267948966,0.005056921843742234,0.000775824216148176,case410,0.2
411,0.1394583249195745,0.3141592653589793,0.006186449044116497,0.000989166357206654,case411,0.2
412,0.1394583249195745,0.471238898038469,0.0063439981860738725,0.001360473156123115,case412,0.2
413,0.1394583249195745,0.6283185307179586,0.0064726616121926275,0.0015619180425354778,case413,0.2
414,0.1394583249195745,0.7853981633974483,0.00661060842361151,0.0016552351814743242,case414,0.2
415,0.1394583249195745,0.9424777960769379,0.0067216364482961775,0.0017147347955456624,case415,0.2
416,0.1394583249195745,1.0995574287564276,0.006808200473276737,0.0017543206809387862,case416,0.2
417,0.1394583249195745,1.2566370614359172,0.006899164755147283,0.0017835365351749877,case417,0.2
418,0.1394583249195745,1.413716694115407,0.006978347291631159,0.0018001938595787184,case418,0.2
419,0.1394583249195745,1.5707963267948966,0.007043444946263762,0.0018060101169292736,case419,0.2
420,0.1394583249195745,0.15707963267948966,0.0051010036411792085,0.0007989054104275908,case420,0.30000000000000004
421,0.1394583249195745,0.3141592653589793,0.006256880723514101,0.0010191211299659501,case421,0.30000000000000004
422,0.1394583249195745,0.471238898038469,0.00643359294551746,0.001392957541244615,case422,0.30000000000000004
